id x y z ray r g b
0 783 -818 -208 85 73 105 164
1 -70 110 238 29 43 134 142
2 502 -377 -265 54 18 171 70
3 19 278 444 59 37 10 47
4 282 587 741 91 142 148 98
5 483 -359 -19 45 123 98 205
6 202 -713 -80 40 204 90 94
7 -21 -293 -40 68 221 115 178
8 481 156 -485 35 201 174 96
9 732 -441 -719 63 65 51 147
10 784 -498 -211 95 62 181 120
11 -774 -686 244 26 201 8 75
12 330 -800 -800 55 196 29 25
13 -825 -750 818 99 41 36 60
14 -564 610 618 82 81 21 158
15 224 -18 -573 32 196 39 108
16 -20 -327 -41 29 99 67 42
17 800 804 217 69 186 23 36
18 -111 390 -63 60 23 108 98
19 53 74 -601 80 59 153 24
20 -495 -377 547 30 181 68 16
21 649 300 -764 48 155 182 191
22 -183 150 69 58 191 136 81
23 -875 -721 804 67 13 59 200
24 -308 -547 -838 43 15 141 46
25 -798 -450 896 77 88 127 146
26 546 -440 -115 90 25 85 222
27 44 94 284 46 5 37 73
28 639 -450 -496 25 170 212 117
29 40 764 889 45 138 13 19
30 586 -230 -804 64 2 192 226
31 234 -395 -394 28 42 11 197
32 800 151 -44 92 186 92 142
33 602 -495 -706 71 50 55 106
34 639 260 -794 29 139 19 72
35 -97 780 -343 40 226 191 4
36 272 -165 -371 62 50 86 234
37 -764 309 -808 83 11 108 5
38 161 -442 426 53 83 33 233
39 -341 -59 -654 39 54 199 46
40 145 -278 261 88 71 222 30
