id  x  y  z  ray   r  g   b 
0 6.57792 1802.26 -4.90908 100 180 6 249
1 17.8556 1730.54 10.8257 100 159 6 249
2 12.5661 1658.67 33.3966 100 139 6 249
3 -11.1966 1586.62 49.5684 100 119 6 249
4 -46.3529 1514.39 47.1027 100 98 6 249
5 -78.9057 1441.96 20.1509 100 78 6 249
6 -92.896 1369.3 -27.4286 100 57 6 249
7 -76.6016 1296.39 -82.1859 100 37 6 249
8 -27.8074 1223.2 -124.844 100 16 6 249
9 43.8288 1149.72 -136.673 100 6 16 249
10 118.426 1075.9 -106.436 100 6 37 249
11 171.355 1001.72 -35.5592 100 6 57 249
12 181.046 927.141 60.4528 100 6 78 249
13 136.716 852.12 155.208 100 6 98 249
14 43.4379 776.615 218.628 100 6 119 249
15 -77.3747 700.577 226.215 100 6 139 249
16 -192.711 623.952 167.589 100 6 159 249
17 -266.913 546.683 51.4856 100 6 180 249
18 -272.443 468.704 -94.6931 100 6 200 249
19 -199.253 389.945 -231.173 100 6 221 249
20 -59.758 310.327 -316.548 100 6 241 249
21 112.539 229.766 -320.079 100 6 249 236
22 270.914 148.165 -231.968 100 6 249 216
23 367.978 65.4224 -68.3297 100 6 249 195
24 369.59 -18.5773 131.088 100 6 249 175
25 266.084 -103.959 312.354 100 6 249 154
26 77.2997 -190.862 421.798 100 6 249 134
27 -150.571 -279.438 421.596 100 6 249 113
28 -356.058 -369.853 302.062 100 6 249 93
29 -478.798 -462.293 86.7997 100 6 249 72
30 -476.924 -556.958 -171.299 100 6 249 52
31 -340.52 -654.073 -402.774 100 6 249 32
32 -97.0053 -753.882 -540.032 100 6 249 11
33 193.683 -856.654 -536.673 100 21 249 6
34 453.499 -962.686 -382.279 100 42 249 6
35 606.901 -1072.3 -108.15 100 62 249 6
36 602.307 -1185.87 218.271 100 83 249 6
37 428.43 -1303.77 509.561 100 103 249 6
38 120.545 -1426.44 681.269 100 124 249 6
39 -245.794 -1554.36 675.772 100 144 249 6
40 -572.725 -1688.06 480.429 100 165 249 6
41 -765.62 -1828.11 134.603 100 185 249 6
42 -759.662 -1975.14 -277.222 100 206 249 6
43 -540.211 -2129.87 -645.343 100 226 249 6
44 -150.876 -2293.05 -863.256 100 247 249 6
45 313.848 -2465.52 -857.426 100 249 231 6
46 730.544 -2648.23 -610.351 100 249 211 6
47 978.578 -2842.19 -170.096 100 249 190 6
48 973.658 -3048.53 357.392 100 249 170 6
49 694.279 -3268.49 832.493 100 249 149 6
50 193.239 -3503.42 1117.44 100 249 129 6
51 -410.146 -3754.84 1114.47 100 249 108 6
52 -956.734 -4024.37 796.558 100 249 88 6
53 -1287.62 -4313.84 221.604 100 249 67 6
54 -1288 -4625.24 -475.155 100 249 47 6
55 -923.262 -4960.76 -1110.64 100 249 26 6
56 -256.918 -5322.82 -1499.51 100 249 6 6
